product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,year,month,day,day_name,out_of_stock,discount_flag,rating_category
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.01,2025-07-05,37,3.0,False,No Return,2025,7,5,Saturday,0,0,Medium
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,119.64,2025-08-06,2,2.5,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000003,Accessories,Uniqlo,Winter,Unknown,Black,33.8,0.0,33.8,2025-08-06,22,4.3,False,No Return,2025,8,6,Wednesday,0,0,High
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,75.36,2025-07-07,48,2.6,False,No Return,2025,7,7,Monday,0,0,Medium
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,105.02,2025-08-06,10,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000006,Accessories,Zara,Fall,Unknown,White,35.03,0.0,22.63,2025-08-06,38,2.9,True,Color Mismatch,2025,8,6,Wednesday,0,0,Medium
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,0.0,24.49,2024-10-29,38,2.6,False,No Return,2024,10,29,Tuesday,0,0,Medium
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,2025-08-06,47,1.6,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,2025-03-24,14,2.986604189636163,False,No Return,2025,3,24,Monday,0,1,Medium
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,116.84,2025-04-25,3,4.4,False,No Return,2025,4,25,Friday,0,0,High
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,146.98,2025-08-06,2,3.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.51,2025-01-04,43,2.986604189636163,False,No Return,2025,1,4,Saturday,0,0,Medium
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,48.15,2025-08-06,39,1.6,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,79.66,2025-08-06,7,1.7000000000000002,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000016,Accessories,Mango,Winter,Unknown,Green,67.57,0.0,67.57,2025-08-06,17,2.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,123.53,2025-08-06,14,4.6,False,No Return,2025,8,6,Wednesday,0,0,High
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,102.35,2025-08-06,14,3.5,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,2025-08-06,16,4.1,False,No Return,2025,8,6,Wednesday,0,1,High
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,142.59,2025-08-06,1,3.7,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,2025-08-06,42,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000022,Accessories,Zara,Spring,Unknown,Brown,62.3,0.0,62.3,2024-09-24,10,2.5,False,No Return,2024,9,24,Tuesday,0,0,Medium
FB000023,Accessories,Zara,Winter,Unknown,Pink,38.48,0.0,38.48,2025-08-06,46,1.2,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,91.36,2025-08-06,37,1.2,True,Size Issue,2025,8,6,Wednesday,0,0,Low
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,2025-08-06,38,3.6,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34.0,26.99,2025-06-11,16,3.7,False,No Return,2025,6,11,Wednesday,0,1,Medium
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36.0,30.11,2025-08-06,25,1.1,True,Damaged,2025,8,6,Wednesday,0,1,Low
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0.0,53.37,2025-08-06,28,3.8,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0.0,114.35,2025-08-06,6,1.2,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0.0,77.63,2024-10-24,1,2.986604189636163,False,No Return,2024,10,24,Thursday,0,0,Medium
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0.0,71.29,2025-08-06,37,4.1,True,Quality Issue,2025,8,6,Wednesday,0,0,High
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,2025-04-16,5,2.986604189636163,False,No Return,2025,4,16,Wednesday,0,1,Medium
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0.0,143.78,2024-10-16,43,1.1,False,No Return,2024,10,16,Wednesday,0,0,Low
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0.0,88.23,2025-08-06,44,1.6,False,No Return,2025,8,6,Wednesday,0,0,Low
